Conductivity,pH,Turbidity
386.3,7.39,10.3
218.3,7.4,10.9
296.8,7.19,4.92
403.5,6.78,4.34
417.5,8.03,13.6
270.0,7.8,190.0
290.0,7.9,244.0
230.0,7.6,2400.0
270.0,7.4,489.0
480.0,7.7,122.0
590.0,7.6,54.7
317.0,7.3,209.0
220.0,7.5,254.0
279.0,7.3,240.0
370.0,7.8,307.0
519.0,7.7,137.0
535.0,7.8,78.7
563.0,7.9,35.6
302.0,7.6,314.0
220.0,7.5,249.0
242.0,7.4,315.0
285.9,7.5,224.0
363.4,7.68,177.0
293.8,7.56,103.0
372.2,7.98,33.5
274.5,7.88,204.0
412.5,7.9,125.0
330.0,7.6,224.0
340.0,7.8,243.0
280.0,7.5,338.0
230.0,7.4,263.0
480.0,7.6,227.0
580.0,7.7,117.0
707.0,7.8,41.2
254.0,7.3,256.0
213.0,7.4,422.0
314.0,7.4,341.0
360.0,7.7,146.0
465.0,7.8,118.0
543.0,7.9,119.0
679.0,7.9,80.5
731.0,8.2,47.1
294.0,7.4,360.0
381.0,7.5,330.0
335.0,8.5,153.0
211.0,7.3,346.0
220.0,7.4,277.0
292.0,7.3,97.7
219.6,7.73,87.7
222.8,7.5,265.0
243.9,7.76,175.0
275.8,7.55,285.0
318.4,7.72,236.0
439.6,7.64,230.0
286.4,7.25,157.0
369.4,7.44,210.0
506.0,8.4,89.2
201.3,7.71,36.1
214.9,7.63,59.0
250.7,7.63,49.5
326.9,7.68,40.3
534.0,7.76,114.0
299.6,7.83,68.0
607.0,8.41,97.1
239.0,7.38,226.0
261.7,7.57,911.0
284.5,7.54,221.0
303.8,7.69,360.0
321.6,7.41,296.0
331.2,9.21,162.1
344.9,8.3,61.0
263.3,7.41,290.0
294.1,7.63,89.0
186.0,7.96,668.0
381.0,8.1,155.0
473.7,7.86,88.0
268.5,7.72,378.0
310.0,7.5,218.0
330.0,8.1,146.0
280.0,7.9,245.0
380.0,7.6,43.2
486.0,8.1,202.0
650.0,8.1,86.4
312.0,8.1,303.0
255.0,7.7,381.0
216.0,7.7,372.0
277.0,7.9,413.0
405.0,8.0,99.1
500.0,7.7,239.0
540.0,8.0,137.0
659.0,8.2,64.8
669.0,8.3,49.5
438.0,8.1,171.0
405.0,8.0,326.0
229.0,7.2,145.0
202.0,7.7,165.0
286.0,7.3,342.0
482.5,7.79,41.5
245.3,7.67,256.0
281.0,8.27,138.0
323.9,7.79,288.0
458.4,7.76,135.0
321.7,7.55,87.7
377.3,7.43,64.9
210.1,7.58,973.0
157.3,7.75,371.0
189.9,7.83,975.0
247.2,8.15,538.0
271.2,7.73,869.0
449.7,9.83,96.5
475.0,8.58,50.4
545.0,8.02,18.6
436.5,8.04,267.0
239.5,8.15,510.0
316.9,7.72,182.0
525.0,8.07,108.0
696.0,8.34,90.4
140.0,7.0,16.0
140.0,7.6,11.6
130.0,7.5,11.4
120.0,8.1,4.0
131.9,7.7,9.4
330.0,8.1,3.4
226.0,8.4,5.3
260.0,8.0,10.3
213.0,7.8,6.5
242.0,6.9,2.3
219.0,7.9,5.1
177.0,8.0,17.1
205.0,8.2,10.4
338.0,8.4,4.1
127.0,7.7,38.2
306.0,8.0,5.2
397.0,7.8,4.6
385.0,8.1,4.9
434.0,7.5,5.5
1024.0,7.75,4.02
851.0,7.66,3.09
1012.0,8.03,3.07
770.0,7.96,2.61
236.1,7.57,7.04
303.5,7.28,22.2
384.5,7.63,7.89
438.9,6.77,9.67
338.0,7.29,40.2
210.3,7.74,13.9
239.2,7.6,7.98
166.2,6.31,4.92
237.1,7.56,3.52
197.3,7.57,35.9
181.1,7.54,4.99
142.6,7.19,15.6
186.5,7.55,3.18
229.5,7.51,2.52
226.0,8.02,3.95
275.2,7.33,9.93
138.1,7.91,5.3
335.6,7.8,8.06
125.5,7.16,20.4
209.8,7.59,5.64
272.4,7.61,3.2
271.4,7.91,5.11
1200.0,7.5,7.1
940.0,8.1,19.2
390.0,7.6,101.0
630.0,8.2,7.7
882.0,8.0,11.3
1000.0,8.3,3.1
935.0,7.8,12.3
1040.0,7.7,11.4
710.0,7.9,14.5
861.0,8.0,7.5
987.0,8.1,3.7
731.0,8.2,13.6
1062.0,8.6,5.2
1246.0,8.2,6.0
1373.0,8.3,17.6
1024.0,8.2,8.2
1154.0,8.4,9.5
1217.0,8.5,4.5
1311.0,8.0,9.5
1372.0,8.1,4.3
1412.0,8.2,17.3
1430.0,8.2,4.37
1452.0,8.03,4.82
1481.0,8.23,6.05
1483.0,8.13,6.29
1557.0,7.99,6.48
1583.0,7.56,4.9
1606.0,7.83,13.1
1661.0,7.75,7.11
1601.0,8.16,12.6
1669.0,8.06,39.1
1637.0,8.16,3.48
1625.0,7.96,6.19
1777.0,8.17,8.06
1842.0,7.86,2.67
1847.0,7.56,1.65
1932.0,7.71,3.55
1945.0,7.37,2.45
2061.0,7.59,2.56
332.4,7.72,776.0
793.0,8.36,47.4
