Conductivity,pH,Turbidity,quality
192.2,7.71,71.3,bad
339.6,8.18,118.0,bad
226.5,8.21,36.0,bad
229.2,8.0,478.0,bad
545.0,8.26,5.71,bad
642.0,7.99,4.12,bad
701.0,7.99,11.9,bad
230.0,7.4,11.3,bad
250.0,7.6,17.0,bad
200.0,7.4,14.5,bad
250.0,8.0,4.4,bad
410.0,8.0,2.9,bad
406.0,8.1,10.2,bad
181.0,8.3,33.7,bad
277.0,8.1,5.0,bad
356.0,7.0,4.3,bad
364.0,8.0,4.3,bad
278.0,8.0,7.4,bad
342.0,8.2,5.2,bad
473.0,8.3,2.9,bad
369.0,8.0,7.7,bad
287.0,8.2,3.3,bad
454.0,7.6,5.6,bad
179.0,7.6,12.5,bad
324.0,6.9,3.1,bad
550.0,7.51,3.28,bad
607.0,7.85,3.07,bad
331.2,7.83,28.0,bad
495.1,7.69,3.25,bad
404.8,6.94,14.2,bad
421.8,7.87,7.02,bad
455.7,7.74,2.93,good
358.2,7.12,18.4,bad
243.9,7.74,50.2,bad
343.8,6.6,6.84,bad
253.7,6.32,4.14,bad
328.7,7.45,5.23,bad
353.1,7.7,5.01,bad
350.8,7.78,4.21,bad
212.4,7.53,13.7,bad
339.2,7.91,3.49,bad
403.7,7.45,5.47,bad
415.5,7.85,6.02,bad
477.9,7.77,14.1,bad
241.2,7.63,6.27,bad
386.3,7.39,10.3,bad
218.3,7.4,10.9,bad
296.8,7.19,4.92,bad
403.5,6.78,4.34,bad
417.5,8.03,13.6,bad
270.0,7.8,190.0,bad
290.0,7.9,244.0,bad
230.0,7.6,2400.0,bad
270.0,7.4,489.0,bad
480.0,7.7,122.0,bad
590.0,7.6,54.7,bad
317.0,7.3,209.0,bad
220.0,7.5,254.0,bad
279.0,7.3,240.0,bad
370.0,7.8,307.0,bad
519.0,7.7,137.0,bad
535.0,7.8,78.7,bad
563.0,7.9,35.6,bad
302.0,7.6,314.0,bad
220.0,7.5,249.0,bad
242.0,7.4,315.0,bad
285.9,7.5,224.0,bad
363.4,7.68,177.0,bad
372.2,7.98,33.5,bad
274.5,7.88,204.0,bad
412.5,7.9,125.0,bad
330.0,7.6,224.0,bad
340.0,7.8,243.0,bad
280.0,7.5,338.0,bad
230.0,7.4,263.0,bad
480.0,7.6,227.0,bad
580.0,7.7,117.0,bad
707.0,7.8,41.2,bad
254.0,7.3,256.0,bad
213.0,7.4,422.0,bad
314.0,7.4,341.0,bad
360.0,7.7,146.0,bad
465.0,7.8,118.0,bad
543.0,7.9,119.0,bad
679.0,7.9,80.5,bad
731.0,8.2,47.1,bad
294.0,7.4,360.0,bad
381.0,7.5,330.0,bad
335.0,8.5,153.0,bad
211.0,7.3,346.0,bad
220.0,7.4,277.0,bad
292.0,7.3,97.7,bad
222.8,7.5,265.0,bad
243.9,7.76,175.0,bad
275.8,7.55,285.0,bad
318.4,7.72,236.0,bad
439.6,7.64,230.0,bad
286.4,7.25,157.0,bad
369.4,7.44,210.0,bad
506.0,8.4,89.2,bad
201.3,7.71,36.1,bad
214.9,7.63,59.0,bad
250.7,7.63,49.5,bad
326.9,7.68,40.3,bad
534.0,7.76,114.0,bad
299.6,7.83,68.0,bad
607.0,8.41,97.1,bad
239.0,7.38,226.0,bad
261.7,7.57,911.0,bad
284.5,7.54,221.0,bad
303.8,7.69,360.0,bad
321.6,7.41,296.0,bad
331.2,9.21,162.1,bad
344.9,8.3,61.0,bad
263.3,7.41,290.0,bad
294.1,7.63,89.0,bad
186.0,7.96,668.0,bad
381.0,8.1,155.0,bad
473.7,7.86,88.0,bad
268.5,7.72,378.0,bad
310.0,7.5,218.0,bad
330.0,8.1,146.0,bad
280.0,7.9,245.0,bad
380.0,7.6,43.2,bad
486.0,8.1,202.0,bad
650.0,8.1,86.4,bad
312.0,8.1,303.0,bad
255.0,7.7,381.0,bad
216.0,7.7,372.0,bad
277.0,7.9,413.0,bad
405.0,8.0,99.1,bad
500.0,7.7,239.0,bad
540.0,8.0,137.0,bad
659.0,8.2,64.8,bad
669.0,8.3,49.5,bad
438.0,8.1,171.0,bad
405.0,8.0,326.0,bad
229.0,7.2,145.0,bad
202.0,7.7,165.0,bad
286.0,7.3,342.0,bad
245.3,7.67,256.0,bad
281.0,8.27,138.0,bad
323.9,7.79,288.0,bad
458.4,7.76,135.0,bad
321.7,7.55,87.7,bad
377.3,7.43,64.9,bad
210.1,7.58,973.0,bad
157.3,7.75,371.0,bad
189.9,7.83,975.0,bad
247.2,8.15,538.0,bad
271.2,7.73,869.0,bad
449.7,9.83,96.5,bad
475.0,8.58,50.4,bad
545.0,8.02,18.6,bad
436.5,8.04,267.0,bad
239.5,8.15,510.0,bad
316.9,7.72,182.0,bad
525.0,8.07,108.0,bad
696.0,8.34,90.4,bad
140.0,7.0,16.0,bad
140.0,7.6,11.6,bad
130.0,7.5,11.4,bad
120.0,8.1,4.0,good
330.0,8.1,3.4,bad
226.0,8.4,5.3,bad
260.0,8.0,10.3,bad
213.0,7.8,6.5,bad
242.0,6.9,2.3,good
219.0,7.9,5.1,good
177.0,8.0,17.1,bad
205.0,8.2,10.4,bad
338.0,8.4,4.1,bad
127.0,7.7,38.2,bad
306.0,8.0,5.2,bad
397.0,7.8,4.6,bad
385.0,8.1,4.9,bad
434.0,7.5,5.5,bad
1024.0,7.75,4.02,bad
851.0,7.66,3.09,good
1012.0,8.03,3.07,bad
770.0,7.96,2.61,bad
236.1,7.57,7.04,bad
303.5,7.28,22.2,bad
384.5,7.63,7.89,bad
438.9,6.77,9.67,bad
338.0,7.29,40.2,bad
210.3,7.74,13.9,bad
239.2,7.6,7.98,bad
166.2,6.31,4.92,good
237.1,7.56,3.52,good
197.3,7.57,35.9,bad
181.1,7.54,4.99,good
