Conductivity,pH,Turbidity,quality
431.0,8.1,88.5,bad
626.0,8.24,13.3,bad
587.0,8.46,21.6,bad
172.3,7.64,736.0,bad
278.2,7.64,64.5,bad
280.5,8.23,30.2,bad
265.9,7.52,224.0,bad
315.1,8.74,118.0,bad
443.4,7.74,78.8,bad
580.0,8.21,91.4,bad
778.0,7.89,127.0,bad
325.6,7.93,203.0,bad
351.1,7.57,329.0,bad
401.7,7.69,187.0,bad
179.7,6.65,330.0,bad
425.9,7.5,82.6,bad
554.0,7.92,73.9,bad
340.0,7.7,253.0,bad
570.0,8.2,61.8,bad
670.0,8.3,89.5,bad
587.0,8.0,89.7,bad
950.0,8.5,22.1,bad
1130.0,8.6,18.6,bad
1245.0,8.4,25.9,bad
1207.0,8.7,43.6,bad
1173.0,8.5,17.6,bad
920.0,8.9,17.0,bad
1034.0,8.4,11.8,bad
1353.0,8.7,26.6,bad
1497.0,8.6,35.7,bad
266.4,7.76,643.0,bad
378.0,7.23,104.0,bad
410.1,7.89,148.0,bad
776.0,7.84,106.0,bad
322.9,7.63,20.8,bad
310.2,7.56,342.0,bad
302.0,7.64,423.0,bad
497.0,8.81,51.4,bad
732.0,8.4,28.5,bad
767.0,8.62,9.83,bad
422.3,7.89,207.0,bad
772.0,8.75,21.7,bad
850.0,8.97,29.1,bad
455.4,8.03,152.0,bad
733.0,8.47,37.1,bad
632.0,8.47,29.6,bad
654.0,8.58,36.5,bad
555.0,8.4,56.1,bad
830.0,8.53,26.1,bad
1100.0,8.58,11.6,bad
631.0,8.2,18.9,bad
600.0,8.8,47.7,bad
668.0,9.0,62.4,bad
744.0,9.4,174.0,bad
115.2,7.92,519.0,bad
73.5,7.69,670.0,bad
124.8,8.33,200.0,bad
159.6,8.1,131.0,bad
202.3,8.57,37.1,bad
244.2,9.11,44.6,bad
291.0,8.35,484.0,bad
228.1,7.7,202.0,bad
260.2,7.72,217.0,bad
277.7,7.56,491.0,bad
244.9,8.73,92.0,bad
287.5,8.11,383.0,bad
331.2,7.92,385.0,bad
344.9,8.06,119.0,bad
390.8,8.67,144.0,bad
356.3,7.95,610.0,bad
310.9,7.59,113.0,bad
416.8,8.59,62.8,bad
249.7,7.69,266.0,bad
303.6,8.68,226.0,bad
365.7,8.43,223.0,bad
297.5,8.53,111.0,bad
317.4,7.9,246.0,bad
322.2,8.16,213.0,bad
